Event ID	Event Name	Website	Start-End Date
398791	Self-Actualized Leadership Development Workshop	http://www.definedvalues.org	1 - 1 Dec 2019
404574	Self-Actualized Leadership Development Workshop	http://www.definedvalues.org	15 - 15 Dec 2019
404573	Self-Actualized Leadership Development Workshop	http://www.definedvalues.org	8 - 8 Dec 2019
264022	International Conference on Recent Advances in Engineering and Technology	http://iastem.org/Conference2020/Netherlands/1/ICRAET/	9 - 10 Jul 2020
248561	International Conference on Mechanical and Aerospace Engineering	http://iastem.org/Conference2020/Netherlands/1/ICMAE/	9 - 10 Jul 2020
248563	International Conference on Social Science and Humanities	http://iastem.org/Conference2020/Netherlands/1/ICSSH/	9 - 10 Jul 2020
173356	High Yield and Leveraged Finance Credit Analysis	https://www.moodysanalytics.com/public-courses/high-yield-and-leveraged-finance-credit-analysis	23 - 24 Mar 2020
174627	The Effective Accounts Assistant	"https://www.bmc.net/Finance-,-Accounting-and-Budgeting/42/FBA134/The-Effective-Accounts-Assistant/Dubai"	10 - 14 Nov 2019
251214	Phoenix Job Fair	https://www.hirelive.com/fair/1797/AZ/phoenix/December/4/2019	4 - 4 Dec 2019
251963	Denver Job Fair	https://www.hirelive.com/fair/1752/CO/denver/December/5/2019	5 - 5 Dec 2019
74767	Regensburg Travel Exchange	https://www.reiseboersen.de/de/Reiseboersen/1639.html	23 - 24 Oct 2020
184102	Christmas Gifts Fair	https://countrywide-events.co.uk/event-dates	16 - 17 Nov 2019
131019	Best Practice Conference	https://www.bestpracticeshow.co.uk/	14 - 15 Oct 2020
8453	Bondexpo	https://www.bondexpo-messe.de/messekalender/	5 - 8 Oct 2020
112701	Timber Expo	https://www.ukconstructionweek.com/timber	6 - 8 Oct 2020
52073	Law Manchester	http://www.thesolicitorsgroup.com/Exhibitions/2020/LawManchesterMay/	12 - 13 May 2020
58598	Energy	https://www.ukconstructionweek.com/Energy_and_Hvac	6 - 8 Oct 2020
218305	Automotive Prozesse & IT	http://www.automobilkongress.de/	25 - 26 Mar 2020
238995	Data Centre World	http://www.datacentreworldasia.com/	14 - 15 Oct 2020
307030	Cloud Security Expo	https://www.cloudandcybersecurityexpo.com/	14 - 15 Oct 2020
376318	Retail Days	https://www.retaildays.fr/	4 - 5 Mar 2020
324252	IADC ART DCS Subcommittee Meeting	https://www.iadc.org/event/iadc-art-dcs-subcommittee-34/	14 - 14 Nov 2019
298204	Clearwater Coin Club Meeting	http://clearwatercoinclub.50megs.com/	14 - 14 Nov 2019
60605	International Garments Accessories & Packaging Expo	http://asktradex.com/	15 - 18 Jan 2020
54704	Pubcon Las Vegas	https://www.pubcon.com/save-the-dates-pubcon-2018	12 - 15 Oct 2020
430648	Public Interest Technology Forum	https://www.ceda.com.au/Events/Library/S191031NEC	31 - 31 Oct 2019
2210	SMAU Milano	https://www.smau.it/milano19/?lang=it	22 - 24 Oct 2019
65805	Web and Digital Marketing Expo	https://www.japan-it-autumn.jp/en-gb/about/webmo.html	23 - 25 Oct 2019
330500	Africa PPP - Public Private Partnership Conference and Showcase	http://africappp.com	22 - 24 Oct 2019
373769	Zoholics: Mumbai	https://events.zoho.com/ZoholicsIndia	19 - 20 Nov 2019
269673	La Bahia Antiques Show & Sale	http://labahiaantiques.com/march-30-april-7/	27 Mar - 4 Apr 2020
70021	Sacramento Womens Expo	http://sacwomensexpo.com/	3 - 3 Oct 2020
326870	Leadership in Higher Education Conference	https://www.magnapubs.com/leadership-in-higher-education-conference/hotel-travel.html	1 - 3 Oct 2020
146972	International Conference on Economics and Social Science	http://theires.org/Conference2019/Turkey/6/ICESS/	20 - 21 Dec 2019
